ts,brand,category,idtype_count,device_cummulative_cnts,,,,,,
6/14/2021,iSmartgate,Garage opener,1,26,,,,,,
6/14/2021,Meross,Garage opener,1,388,,,,,,
6/14/2021,Momentum,Garage opener,1,28,,,,,,
6/14/2021,Nexx,Garage opener,1,211,,,,,,
6/14/2021,Remootio,Garage opener,1,23,,,,,,
6/14/2021,Skylink,Garage opener,1,8,,,,,,
6/14/2021,Abode,Home security,1,77,,,,,,
6/14/2021,ADT,Home security,1,1985,,,,,,
6/14/2021,Alula,Home security,1,18,,,,,,
6/14/2021,Amazon,Home security,1,2679,,,,,,
6/14/2021,Amcrest,Home security,2,73,,,,,,
6/14/2021,Brinks,Home security,1,1,,,,,,
6/14/2021,Defender,Home security,1,3,,,,,,
6/14/2021,DSC,Home security,1,33,,,,,,
6/14/2021,EyezOn,Home security,1,58,,,,,,
6/14/2021,Google,Home security,1,309,,,,,,
6/14/2021,Honeywell,Home security,3,550,,,,,,
6/14/2021,HUB6,Home security,1,2,,,,,,
6/14/2021,InGrid,Home security,1,4,,,,,,
6/14/2021,iSmart,Home security,1,74,,,,,,
6/14/2021,Konnected,Home security,1,325,,,,,,
6/14/2021,Lorex,Home security,17,320,,,,,,
6/14/2021,Minut,Home security,1,1,,,,,,
6/14/2021,Netatmo,Home security,1,25,,,,,,
6/14/2021,Qolsys,Home security,2,3677,,,,,,
6/14/2021,Technicolor,Home security,1,39,,,,,,
6/14/2021,Vivint,Home security,1,2778,,,,,,
6/14/2021,ADT,Hub,1,114,,,,,,
6/14/2021,Amazon,Hub,1,754,,,,,,
6/14/2021,Aqara,Hub,1,33,,,,,,
6/14/2021,Aquascape,Hub,1,7,,,,,,
6/14/2021,Arlo,Hub,7,4506,,,,,,
6/14/2021,August,Hub,1,1391,,,,,,
6/14/2021,Belkin,Hub,1,58,,,,,,
6/14/2021,Blink,Hub,1,5748,,,,,,
6/14/2021,Bond,Hub,1,266,,,,,,
6/14/2021,Brilliant,Hub,1,447,,,,,,
6/14/2021,Broadlink,Hub,3,65,,,,,,
6/14/2021,BroadLink,Hub,5,414,,,,,,
6/14/2021,C By GE,Hub,1,16,,,,,,
6/14/2021,Camect,Hub,1,2,,,,,,
6/14/2021,Control4,Hub,9,168,,,,,,
6/14/2021,Develco,Hub,1,3,,,,,,
6/14/2021,EverLights,Hub,1,4,,,,,,
6/14/2021,Hive,Hub,1,20,,,,,,
6/14/2021,Homey,Hub,1,4,,,,,,
6/14/2021,Hoobs,Hub,1,33,,,,,,
6/14/2021,Hubitat,Hub,1,1,,,,,,
6/14/2021,Hunter Douglas,Hub,1,5,,,,,,
6/14/2021,Ikea,Hub,1,99,,,,,,
6/14/2021,Kangaroo,Hub,1,43,,,,,,
6/14/2021,Leedarson,Hub,1,2,,,,,,
6/14/2021,LightwaveRF,Hub,1,1,,,,,,
6/14/2021,Lockly,Hub,1,86,,,,,,
6/14/2021,Logitech,Hub,3,2896,,,,,,
6/14/2021,MagicHue,Hub,1,961,,,,,,
6/14/2021,Meross,Hub,1,5,,,,,,
6/14/2021,Napco,Hub,1,3,,,,,,
6/14/2021,Nature,Hub,1,442,,,,,,
6/14/2021,Netatmo,Hub,1,4,,,,,,
6/14/2021,Notion,Hub,1,58,,,,,,
6/14/2021,Nuki,Hub,1,5,,,,,,
6/14/2021,Overkiz,Hub,1,2,,,,,,
6/14/2021,Panasonic,Hub,1,135,,,,,,
6/14/2021,Philips,Hub,1,5020,,,,,,
6/14/2021,Samsung,Hub,4,1736,,,,,,
6/14/2021,Sangoma,Hub,1,2,,,,,,
6/14/2021,Sonos,Hub,1,417,,,,,,
6/14/2021,Tado,Hub,1,2,,,,,,
6/14/2021,ThermoWorks,Hub,1,7,,,,,,
6/14/2021,TP-Link,Hub,1,5,,,,,,
6/14/2021,URC,Hub,1,1,,,,,,
6/14/2021,Velux,Hub,1,9,,,,,,
6/14/2021,Wink,Hub,2,267,,,,,,
6/14/2021,Xiaomi,Hub,1,38,,,,,,
6/14/2021,Acer,Laptop & computer,7,728,,,,,,
6/14/2021,Android,Laptop & computer,1,16,,,,,,
6/14/2021,Apple,Laptop & computer,19,197625,,,,,,
6/14/2021,Asus,Laptop & computer,3,21,,,,,,
6/14/2021,ASUS,Laptop & computer,6,299,,,,,,
6/14/2021,Atrust,Laptop & computer,1,2,,,,,,
6/14/2021,CAT,Laptop & computer,1,7,,,,,,
6/14/2021,Chrome OS,Laptop & computer,1,2,,,,,,
6/14/2021,Compaq,Laptop & computer,2,18,,,,,,
6/14/2021,Compulab,Laptop & computer,1,1,,,,,,
6/14/2021,Debian,Laptop & computer,1,44,,,,,,
6/14/2021,Dell,Laptop & computer,33,222,,,,,,
6/14/2021,Dell Inc.,Laptop & computer,5,5,,,,,,
6/14/2021,Ematic,Laptop & computer,1,2,,,,,,
6/14/2021,Embedded,Laptop & computer,1,3,,,,,,
6/14/2021,Evoo,Laptop & computer,1,1,,,,,,
6/14/2021,Fedora,Laptop & computer,1,10,,,,,,
6/14/2021,Fujitsu,Laptop & computer,2,57,,,,,,
6/14/2021,Gateway,Laptop & computer,2,8,,,,,,
6/14/2021,Gentoo,Laptop & computer,1,1,,,,,,
6/14/2021,Google,Laptop & computer,3,82582,,,,,,
6/14/2021,HP,Laptop & computer,11,1447,,,,,,
6/14/2021,HTC,Laptop & computer,1,2,,,,,,
6/14/2021,Huawei,Laptop & computer,2,5,,,,,,
6/14/2021,Hyrican,Laptop & computer,1,10,,,,,,
6/14/2021,IGEL,Laptop & computer,1,2,,,,,,
6/14/2021,IMSAI,Laptop & computer,1,1,,,,,,
6/14/2021,Intel,Laptop & computer,1,1,,,,,,
6/14/2021,Leadtek,Laptop & computer,1,37,,,,,,
6/14/2021,Lenovo,Laptop & computer,53,958,,,,,,
6/14/2021,LG,Laptop & computer,5,70,,,,,,
6/14/2021,Linux,Laptop & computer,1,487,,,,,,
6/14/2021,Microsoft,Laptop & computer,169,602418,,,,,,
6/14/2021,Mpman,Laptop & computer,1,117,,,,,,
6/14/2021,MSI,Laptop & computer,2,401,,,,,,
6/14/2021,Multicraft,Laptop & computer,1,2,,,,,,
6/14/2021,OpenWrt,Laptop & computer,1,2,,,,,,
6/14/2021,Orange Pi,Laptop & computer,1,1,,,,,,
6/14/2021,Play,Laptop & computer,1,3,,,,,,
6/14/2021,Samsung,Laptop & computer,12,904,,,,,,
6/14/2021,Silicon Graphics,Laptop & computer,1,7,,,,,,
6/14/2021,Sony,Laptop & computer,8,474,,,,,,
6/14/2021,Tizen,Laptop & computer,1,2,,,,,,
6/14/2021,Toshiba,Laptop & computer,3,147,,,,,,
6/14/2021,Ubuntu,Laptop & computer,1,99,,,,,,
6/14/2021,Unknown System Builder,Laptop & computer,1,1,,,,,,
6/14/2021,Vizio,Laptop & computer,1,31,,,,,,
6/14/2021,Xbmc,Laptop & computer,1,1,,,,,,
6/14/2021,AI,Light bulb,2,10,,,,,,
6/14/2021,Cololight,Light bulb,1,12,,,,,,
6/14/2021,Elgato,Light bulb,1,31,,,,,,
6/14/2021,Etekcity,Light bulb,1,70,,,,,,
6/14/2021,Everlights,Light bulb,1,4,,,,,,
6/14/2021,Feit,Light bulb,1,6,,,,,,
6/14/2021,Friendship,Light bulb,1,153,,,,,,
6/14/2021,GE,Light bulb,1,910,,,,,,
6/14/2021,GreenWave Reality,Light bulb,1,5,,,,,,
6/14/2021,Juno,Light bulb,1,16,,,,,,
6/14/2021,Koogeek,Light bulb,2,19,,,,,,
6/14/2021,Lifx,Light bulb,10,5626,,,,,,
6/14/2021,LIFX,Light bulb,1,12,,,,,,
6/14/2021,Lohas,Light bulb,1,91,,,,,,
6/14/2021,Magic Hue,Light bulb,1,156,,,,,,
6/14/2021,Merkury,Light bulb,1,1,,,,,,
6/14/2021,Meross,Light bulb,3,355,,,,,,
6/14/2021,Mirabella Genio,Light bulb,1,7,,,,,,
6/14/2021,Nanoleaf,Light bulb,3,159,,,,,,
6/14/2021,Philips,Light bulb,2,156,,,,,,
6/14/2021,Red Sea,Light bulb,1,28,,,,,,
6/14/2021,Samsung,Light bulb,1,9,,,,,,
6/14/2021,Sengled,Light bulb,4,848,,,,,,
6/14/2021,Sony,Light bulb,1,5,,,,,,
6/14/2021,Sylvania,Light bulb,1,82,,,,,,
6/14/2021,TP-Link,Light bulb,3,2507,,,,,,
6/14/2021,Tuya,Light bulb,1,43876,,,,,,
6/14/2021,Twinkly,Light bulb,1,70,,,,,,
6/14/2021,VOCOlinc,Light bulb,2,17,,,,,,
6/14/2021,Wiz,Light bulb,1,8731,,,,,,
6/14/2021,Wyze,Light bulb,1,76,,,,,,
6/14/2021,Xiaomi,Light bulb,6,707,,,,,,
6/14/2021,Zengge,Light bulb,1,1233,,,,,,
6/14/2021,Belkin,Light switch,2,2146,,,,,,
6/14/2021,Crestron,Light switch,1,1,,,,,,
6/14/2021,Deako,Light switch,1,1,,,,,,
6/14/2021,ecobee,Light switch,1,79,,,,,,
6/14/2021,Etekcity,Light switch,1,31,,,,,,
6/14/2021,GE,Light switch,2,428,,,,,,
6/14/2021,iDevices,Light switch,3,270,,,,,,
6/14/2021,IOTTY,Light switch,1,117,,,,,,
6/14/2021,Koogeek,Light switch,1,2,,,,,,
6/14/2021,Leviton,Light switch,2,1985,,,,,,
6/14/2021,Lutron,Light switch,2,1131,,,,,,
6/14/2021,Meross,Light switch,3,1281,,,,,,
6/14/2021,Noon,Light switch,1,5,,,,,,
6/14/2021,Orro,Light switch,1,2,,,,,,
6/14/2021,Plum,Light switch,1,36,,,,,,
6/14/2021,Shelly,Light switch,6,169,,,,,,
6/14/2021,Sonoff,Light switch,1,5,,,,,,
6/14/2021,TP-Link,Light switch,1,7170,,,,,,
6/14/2021,Akai,Media player,1,10,,,,,,
6/14/2021,Amazon,Media player,2,56,,,,,,
6/14/2021,Apple,Media player,9,13648,,,,,,
6/14/2021,Bluesound,Media player,8,33,,,,,,
6/14/2021,Cambridge Audio,Media player,2,8,,,,,,
6/14/2021,Como Audio,Media player,4,10,,,,,,
6/14/2021,Control4,Media player,2,21,,,,,,
6/14/2021,Cowon,Media player,1,1,,,,,,
6/14/2021,D-Link,Media player,1,5,,,,,,
6/14/2021,Denon,Media player,8,129,,,,,,
6/14/2021,Denon DJ,Media player,1,1,,,,,,
6/14/2021,DStv,Media player,2,6,,,,,,
6/14/2021,Grace Digital,Media player,1,17,,,,,,
6/14/2021,Hitachi,Media player,1,3,,,,,,
6/14/2021,IDIS,Media player,1,7,,,,,,
6/14/2021,Jooki,Media player,1,7,,,,,,
6/14/2021,Kingbox,Media player,1,136,,,,,,
6/14/2021,Kodi,Media player,1,24,,,,,,
6/14/2021,Logitech,Media player,1,1,,,,,,
6/14/2021,Magic TV,Media player,2,13,,,,,,
6/14/2021,Marantz,Media player,1,48,,,,,,
6/14/2021,Microsoft,Media player,1,1,,,,,,
6/14/2021,Mighty,Media player,1,6,,,,,,
6/14/2021,NAD,Media player,1,5,,,,,,
6/14/2021,Nuvo,Media player,1,248,,,,,,
6/14/2021,Panasonic,Media player,123,5517,,,,,,
6/14/2021,Philips,Media player,1,5,,,,,,
6/14/2021,Pure,Media player,1,1,,,,,,
6/14/2021,Russound,Media player,3,18,,,,,,
6/14/2021,Samsung,Media player,4,1203,,,,,,
6/14/2021,SCISHION,Media player,1,5,,,,,,
6/14/2021,SiriusXM,Media player,1,21,,,,,,
6/14/2021,Sony,Media player,9,5044,,,,,,
6/14/2021,Toshiba,Media player,20,307,,,,,,
6/14/2021,WD,Media player,3,34,,,,,,
6/14/2021,Yamaha,Media player,1,23,,,,,,
6/14/2021,Yinlishi,Media player,1,39,,,,,,
6/14/2021,AirTies,Mesh router,2,17,,,,,,
6/14/2021,Amazon,Mesh router,1,202,,,,,,
6/14/2021,Elecom,Mesh router,1,1,,,,,,
6/14/2021,Google,Mesh router,1,260,,,,,,
6/14/2021,Helium,Mesh router,1,29,,,,,,
6/14/2021,Plume,Mesh router,3,71,,,,,,
6/14/2021,Tenda,Mesh router,1,1,,,,,,
6/14/2021,Antsle,NAS storage,1,1,,,,,,
6/14/2021,Asustor,NAS storage,2,5,,,,,,
6/14/2021,Buffalo,NAS storage,1,677,,,,,,
6/14/2021,Cubbit,NAS storage,1,2,,,,,,
6/14/2021,IO Data,NAS storage,2,28,,,,,,
6/14/2021,Kingston,NAS storage,1,13,,,,,,
6/14/2021,Lenovo,NAS storage,1,1,,,,,,
6/14/2021,LG,NAS storage,1,1,,,,,,
6/14/2021,Monument,NAS storage,1,20,,,,,,
6/14/2021,Netgear,NAS storage,4,62,,,,,,
6/14/2021,Omoidebako,NAS storage,1,135,,,,,,
6/14/2021,QNAP,NAS storage,31,71,,,,,,
6/14/2021,Sandisk,NAS storage,1,303,,,,,,
6/14/2021,Seagate,NAS storage,3,66,,,,,,
6/14/2021,Synology,NAS storage,82,834,,,,,,
6/14/2021,Ubiquiti,NAS storage,1,3,,,,,,
6/14/2021,Vivint,NAS storage,1,359,,,,,,
6/14/2021,Western Digital,NAS storage,3,911,,,,,,
6/14/2021,Zyxel,NAS storage,1,7,,,,,,
6/14/2021,ZyXEL,NAS storage,1,1,,,,,,
6/14/2021,Generac,Network controller,1,5,,,,,,
6/14/2021,Meross,Network controller,1,10,,,,,,
6/14/2021,Ubiquiti,Network controller,2,12,,,,,,
6/14/2021,VMware,Network controller,1,11,,,,,,
6/14/2021,XYO,Network controller,1,4,,,,,,
6/14/2021,Zinwell,Network controller,1,664,,,,,,
6/14/2021,Bosch,Oven,3,9,,,,,,
6/14/2021,Brava,Oven,1,29,,,,,,
6/14/2021,Cosori,Oven,1,25,,,,,,
6/14/2021,June,Oven,1,46,,,,,,
6/14/2021,LG,Oven,1,7,,,,,,
6/14/2021,Samsung,Oven,1,138,,,,,,
6/14/2021,Thermador,Oven,1,19,,,,,,
6/14/2021,Whirlpool,Oven,1,284,,,,,,
6/14/2021,Aluratek,Picture frame,1,16,,,,,,
6/14/2021,Aura,Picture frame,1,152,,,,,,
6/14/2021,Canvia,Picture frame,1,2,,,,,,
6/14/2021,Meural,Picture frame,1,26,,,,,,
6/14/2021,Netgear,Picture frame,1,19,,,,,,
6/14/2021,Nixplay,Picture frame,12,864,,,,,,
6/14/2021,PhotoSpring,Picture frame,1,6,,,,,,
6/14/2021,Pix-Star,Picture frame,1,223,,,,,,
6/14/2021,SimplySmart Home,Picture frame,1,10,,,,,,
6/14/2021,Skylight,Picture frame,1,834,,,,,,
6/14/2021,Amazon,Plug,1,9088,,,,,,
6/14/2021,APC,Plug,1,35,,,,,,
6/14/2021,Belkin,Plug,3,5202,,,,,,
6/14/2021,Broadlink,Plug,1,15,,,,,,
6/14/2021,BroadLink,Plug,1,16,,,,,,
6/14/2021,C by GE,Plug,1,79,,,,,,
6/14/2021,ConnectSense,Plug,2,5,,,,,,
6/14/2021,Currant,Plug,1,7,,,,,,
6/14/2021,D-Link,Plug,1,38,,,,,,
6/14/2021,ECO Plugs,Plug,1,261,,,,,,
6/14/2021,Etekcity,Plug,1,1799,,,,,,
6/14/2021,iDevices,Plug,3,242,,,,,,
6/14/2021,iHome,Plug,1,278,,,,,,
6/14/2021,Konke,Plug,1,3,,,,,,
6/14/2021,Koogeek,Plug,4,52,,,,,,
6/14/2021,Meross,Plug,3,1493,,,,,,
6/14/2021,Mobvoi,Plug,1,4,,,,,,
6/14/2021,myTouchSmart,Plug,1,3,,,,,,
6/14/2021,Nexx,Plug,1,14,,,,,,
6/14/2021,OPSO,Plug,1,4,,,,,,
